scenario,year,material,mean,std,p2_5,p2,p5,p25,p50,p75,p95,p97_5,p97,bucket_years,mean_annual,std_annual,p2_annual,p5_annual,p25_annual,p50_annual,p75_annual,p95_annual,p97_annual
Mid_Case,2046,Germanium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mid_Case,2047,Germanium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mid_Case,2048,Germanium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mid_Case,2049,Germanium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mid_Case,2050,Germanium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mid_Case,2026,Glass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mid_Case,2027,Glass,2226563.4194843345,1241750.264489972,799681.2457168652,799681.2457168652,903380.5636968892,1395000.5882443131,1929183.6102364718,2703871.5722291097,4554469.7765532145,5369117.3291699495,5369117.3291699495,1.0,2226563.4194843345,1241750.264489972,799681.2457168652,903380.5636968892,1395000.5882443131,1929183.6102364718,2703871.5722291097,4554469.7765532145,5369117.3291699495
Mid_Case,2028,Glass,2694454.008223571,1516525.0838362668,956885.7783171098,956885.7783171098,1086907.7320999925,1680103.7923491127,2327856.2597386166,3276639.597461153,5531172.029365615,6519727.947548818,6519727.947548818,1.0,2694454.008223571,1516525.0838362668,956885.7783171098,1086907.7320999925,1680103.7923491127,2327856.2597386166,3276639.597461153,5531172.029365615,6519727.947548818
Mid_Case,2029,Glass,3063037.505327127,1731968.235012457,1078109.7674933888,1078109.7674933888,1231646.609496193,1900847.698888855,2642818.821651966,3729250.458670648,6299165.450007753,7428938.939512582,7428938.939512582,1.0,3063037.505327127,1731968.235012457,1078109.7674933888,1231646.609496193,1900847.698888855,2642818.821651966,3729250.458670648,6299165.450007753,7428938.939512582
Mid_Case,2030,Glass,3852727.7530507827,2157972.4115726487,1376733.5124693203,1376733.5124693203,1555638.748340598,2408735.253983988,3332699.6025267392,4681431.923524478,7892653.7556677675,9312585.068557013,9312585.068557013,1.0,3852727.7530507827,2157972.4115726487,1376733.5124693203,1555638.748340598,2408735.253983988,3332699.6025267392,4681431.923524478,7892653.7556677675,9312585.068557013
Mid_Case,2031,Glass,4422869.911388453,2492161.1151022958,1566202.3530399909,1566202.3530399909,1779347.8850556717,2754082.3903653584,3822020.11753208,5378993.780561765,9082547.889459778,10710543.846799212,10710543.846799212,1.0,4422869.911388453,2492161.1151022958,1566202.3530399909,1779347.8850556717,2754082.3903653584,3822020.11753208,5378993.780561765,9082547.889459778,10710543.846799212
Mid_Case,2032,Glass,3932722.718081248,2319412.90411517,1328779.5487215326,1328779.5487215326,1508768.3503790337,2377813.136983494,3354098.6364076594,4787611.148782971,8294733.560549762,9784886.61436778,9784886.61436778,1.0,3932722.718081248,2319412.90411517,1328779.5487215326,1508768.3503790337,2377813.136983494,3354098.6364076594,4787611.148782971,8294733.560549762,9784886.61436778
Mid_Case,2033,Glass,3328796.6679405253,2075712.020271585,1011328.5438424859,1011328.5438424859,1177900.378184634,1939866.7489092005,2813609.972034094,4104885.4440052696,7273003.170274928,8486091.175460447,8486091.175460447,1.0,3328796.6679405253,2075712.020271585,1011328.5438424859,1177900.378184634,1939866.7489092005,2813609.972034094,4104885.4440052696,7273003.170274928,8486091.175460447
Mid_Case,2034,Glass,3116481.253691386,1947388.0692973176,940238.1109166202,940238.1109166202,1096042.0771319084,1812194.083754233,2635599.4185959194,3845531.894850552,6818027.765390671,7954559.275994819,7954559.275994819,1.0,3116481.253691386,1947388.0692973176,940238.1109166202,1096042.0771319084,1812194.083754233,2635599.4185959194,3845531.894850552,6818027.765390671,7954559.275994819
Mid_Case,2035,Glass,2601960.72688506,1621317.298569141,792513.3784119813,792513.3784119813,922480.319576679,1516270.35009788,2200484.1163356416,3208628.771036707,5682314.719021154,6630505.144845285,6630505.144845285,1.0,2601960.72688506,1621317.298569141,792513.3784119813,922480.319576679,1516270.35009788,2200484.1163356416,3208628.771036707,5682314.719021154,6630505.144845285
Mid_Case,2036,Glass,1970405.3117079025,1199881.443275036,628999.3922742003,628999.3922742003,724168.2905301889,1167274.823759445,1668645.910861794,2417999.2813835917,4232738.633352728,4967754.191411017,4967754.191411017,1.0,1970405.3117079025,1199881.443275036,628999.3922742003,724168.2905301889,1167274.823759445,1668645.910861794,2417999.2813835917,4232738.633352728,4967754.191411017
