material,family,tech,demand_t,share_pct,mode
Magnesium,Base & alloying,Natural gas,0.0,0.0,cumulative
Magnesium,Base & alloying,Coal CCS,0.0,0.0,cumulative
Manganese,Base & alloying,Utility solar PV,0.0,0.0,cumulative
Manganese,Base & alloying,Distributed solar,0.0,0.0,cumulative
Manganese,Base & alloying,CSP,288.2442286056425,0.0484904203646406,cumulative
Manganese,Base & alloying,Onshore wind,565545.8015783635,95.13999217487071,cumulative
Manganese,Base & alloying,Offshore wind,0.0,0.0,cumulative
Manganese,Base & alloying,Hydro,0.0,0.0,cumulative
Manganese,Base & alloying,Geothermal,0.0,0.0,cumulative
Manganese,Base & alloying,Biomass CCS,21.70359817824539,0.003651128087383899,cumulative
Manganese,Base & alloying,Nuclear (SMR),1866.2748968957867,0.31395755850593116,cumulative
Manganese,Base & alloying,Natural gas,24897.959034775948,4.1885053714975005,cumulative
Manganese,Base & alloying,Coal CCS,1815.4256328074823,0.3054033466738257,cumulative
Molybdenum,Base & alloying,Utility solar PV,20248.979493895808,20.17410182546802,cumulative
Molybdenum,Base & alloying,Distributed solar,0.0,0.0,cumulative
Molybdenum,Base & alloying,CSP,0.0,0.0,cumulative
Molybdenum,Base & alloying,Onshore wind,75207.1353690941,74.92903073931421,cumulative
Molybdenum,Base & alloying,Offshore wind,4915.042520251091,4.896867435217756,cumulative
Molybdenum,Base & alloying,Hydro,0.0,0.0,cumulative
Molybdenum,Base & alloying,Geothermal,0.0,0.0,cumulative
Molybdenum,Base & alloying,Biomass CCS,0.0,0.0,cumulative
Molybdenum,Base & alloying,Nuclear (SMR),0.0,0.0,cumulative
Molybdenum,Base & alloying,Natural gas,0.0,0.0,cumulative
Molybdenum,Base & alloying,Coal CCS,0.0,0.0,cumulative
Neodymium,Rare earth elements,Utility solar PV,0.0,0.0,cumulative
Neodymium,Rare earth elements,Distributed solar,0.0,0.0,cumulative
Neodymium,Rare earth elements,CSP,0.0,0.0,cumulative
Neodymium,Rare earth elements,Onshore wind,81382.03231441618,91.15111902349284,cumulative
Neodymium,Rare earth elements,Offshore wind,7900.505504391253,8.84888097650715,cumulative
Neodymium,Rare earth elements,Hydro,0.0,0.0,cumulative
Neodymium,Rare earth elements,Geothermal,0.0,0.0,cumulative
Neodymium,Rare earth elements,Biomass CCS,0.0,0.0,cumulative
Neodymium,Rare earth elements,Nuclear (SMR),0.0,0.0,cumulative
Neodymium,Rare earth elements,Natural gas,0.0,0.0,cumulative
Neodymium,Rare earth elements,Coal CCS,0.0,0.0,cumulative
Nickel,Base & alloying,Utility solar PV,3910.6090362823793,2.4659519802294474,cumulative
Nickel,Base & alloying,Distributed solar,61.56831270775906,0.038823748738998534,cumulative
Nickel,Base & alloying,CSP,107.53546771618308,0.06780971892084417,cumulative
Nickel,Base & alloying,Onshore wind,144202.8040589316,90.93140912951243,cumulative
Nickel,Base & alloying,Offshore wind,7253.493975960517,4.573908480149747,cumulative
Nickel,Base & alloying,Hydro,0.0,0.0,cumulative
Nickel,Base & alloying,Geothermal,0.0,0.0,cumulative
Nickel,Base & alloying,Biomass CCS,1.770408753618306,0.001116384412580119,cumulative
Nickel,Base & alloying,Nuclear (SMR),867.3030144447024,0.546903964596283,cumulative
Nickel,Base & alloying,Natural gas,2030.9795758465755,1.2806951705981748,cumulative
Nickel,Base & alloying,Coal CCS,148.08813752767588,0.09338142284149677,cumulative
Niobium,Base & alloying,Utility solar PV,0.0,0.0,cumulative
Niobium,Base & alloying,Distributed solar,0.0,0.0,cumulative
Niobium,Base & alloying,CSP,0.0,0.0,cumulative
Niobium,Base & alloying,Onshore wind,26835.72567460578,91.73121664882088,cumulative
Niobium,Base & alloying,Offshore wind,2419.010777154482,8.268783351179122,cumulative
Niobium,Base & alloying,Hydro,0.0,0.0,cumulative
Niobium,Base & alloying,Geothermal,0.0,0.0,cumulative
Niobium,Base & alloying,Biomass CCS,0.0,0.0,cumulative
Niobium,Base & alloying,Nuclear (SMR),0.0,0.0,cumulative
Niobium,Base & alloying,Natural gas,0.0,0.0,cumulative
Niobium,Base & alloying,Coal CCS,0.0,0.0,cumulative
Praseodymium,Rare earth elements,Utility solar PV,0.0,0.0,cumulative
Praseodymium,Rare earth elements,Distributed solar,0.0,0.0,cumulative
Praseodymium,Rare earth elements,CSP,0.0,0.0,cumulative
Praseodymium,Rare earth elements,Onshore wind,2864.775845547519,58.0735297029794,cumulative
Praseodymium,Rare earth elements,Offshore wind,2068.239006829441,41.92647029702061,cumulative
Praseodymium,Rare earth elements,Hydro,0.0,0.0,cumulative
Praseodymium,Rare earth elements,Geothermal,0.0,0.0,cumulative
Praseodymium,Rare earth elements,Biomass CCS,0.0,0.0,cumulative
Praseodymium,Rare earth elements,Nuclear (SMR),0.0,0.0,cumulative
Praseodymium,Rare earth elements,Natural gas,0.0,0.0,cumulative
Praseodymium,Rare earth elements,Coal CCS,0.0,0.0,cumulative
Silicon,Bulk commodities,Utility solar PV,3076093.8751763687,91.72649498583723,cumulative
Silicon,Bulk commodities,Distributed solar,277456.1276350593,8.273505014162772,cumulative
Silicon,Bulk commodities,CSP,0.0,0.0,cumulative
Silicon,Bulk commodities,Onshore wind,0.0,0.0,cumulative
